business_id,company_name,business_ref_code,account_manager,business_group,business_unit,account_motion
117440,LUMIERE SEARCH PTE. LTD.,SGLUS9,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
146925,LUSTRON TECHNOLOGY PTE. LTD.,SGLT93,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
144644,MADINA GLOBAL SOLUTION PTE. LTD.,SGMGHM,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
76492,MAGIK LABS PTE. LTD.,SGMAGL,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
76967,MANEUVER MARKETING PTE LTD USD,SGMMYM,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
64609,MANEUVER MARKETING PTE. LTD.,SGMMNN,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
78038,MATHRIX SINGAPORE PTE. LTD.,SGZUZG,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
173861,MAX STAR GLOBAL TRADING PTE LTD,SG7S5W,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
133221,MAZON INTERNATIONAL PTE. LTD.,SGMBS6,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
71073,MDS PACIFIC PTE. LTD.,SGPLSE,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
122814,MEADS COMPANY LIMITED,SGMCKB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
150189,MEDIATROPY PTE LTD (USD),SGENMN,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
76663,MEDIQ PTE. LTD.,SGMEPR,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
95007,METAMORPHOSEED VENTURES PTE. LTD.,SGMEVD,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
173208,MFR BRANDS PTE LTD,SGMFRB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
75503,Mimin Pte. Ltd.,SGMMP8,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
143847,MOBIVERSA PTE. LTD.,SGMPR3,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
61911,MULTIPLIER TECHNOLOGIES PTE. LTD. (SGD Advance),SGMUTR,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
127034,MUST COMPANY SG PTE. LTD.,SGMC4R,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
74424,MVS TECHNOLOGY PTE. LTD.,SGMVST,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
134901,NEXORACLE PTE. LTD.,SGKQX2,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
66401,NEXTBILLION.AI PTE. LTD.,SGNP8F,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
25635,Nextwave Labs Pte. Ltd.,SGGRA5,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
125793,NINE SMART PTE. LTD.,SGNSG8,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
133410,Nonce Technology Pte. Ltd.,SGNNTX,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
136848,NOONE21 PTE. LTD.,SG4PDJ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
173215,NUCLEO GLOBAL PTE LTD,SGNUCG,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
135323,NUL GLOBAL TECHNOLOGIES PTE. LTD.,SGGBTQ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
116549,OCEAN STAR GLOBAL PTE. LTD.,SGCSUV,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
136259,OLD WALL INTERNATIONAL PTE.LTD.,SGWN4U,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
134367,ONEPG ENTERPRISES PTE. LTD.,SGNEE5,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
83724,ONESHIFT PTE. LTD. (USD),SGNPWF,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
147723,OPTIMAL AGILITY PTE LTD,SGHMYE,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
71958,OREO FUND MANAGEMENT PTE. LTD.,SGFMC4,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
107087,OSOME LTD.,SGFGZX,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
118081,OX LUXE LIMITED,SGLULJ,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
80481,OX LUXE PTE LTD,SGLUP2,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
83722,OX LUXE PTE LTD USD,SGLUPA,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
91323,OX STREET SDN. BHD. (MYR),SGSSVS,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
92861,OX STREET SDN. BHD. (USD),SGSSTA,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
55188,Oxixo Private Ltd.,SGPRLF,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
68350,PALO ENGINEERING PTE. LTD.,SGEPNQ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
173232,PANGO LABS PTE LTD,SGPL4F,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
75311,PEARLMIRROR INNOVATION PTE. LTD.,SGPNBU,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
57598,PHARE 56 PTE. LTD.,SGPHP6,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
104019,PHOENIX LABS PTE. LTD.,SGPHEL,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
137316,PIVENE PTE. LTD.,SGPVPB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
110383,POSEIDON CONSULTANCY LIMITED,SGPSEC,SG AM-Rachel,AFT HK Limited,AspireBA,Key
83575,POURQUOI PAS PTE. LTD.,SGPP8Y,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
136766,PRECOG ANALYTICS PTE. LTD,SGWMB4,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
86460,PREFER PTE. LTD.,SGPPGY,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
74054,Primal Co Ltd,SGPL5G,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
28763,Prism Tech Private Limited,SGPRST,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
141050,PRISMWEB TECHNOLOGIES PTE. LTD.,SGPTZB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
56632,PRIVYR PTE. LTD.,SGPRPH,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
74112,PROBEINTO PTE. LTD.,SGPRBP,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
54182,PROPERTY SCOUT HOLDING PTE. LTD.,SGFEXR,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
76322,PROPERTY SCOUT MARKETPLACE (THAILAND) COMPANY LIMITED,SGPSMT,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
72231,PROPERTYLIMBROTHERSMEDIA PTE. LTD.,SGPPCK,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
141052,PROVERBS CONSULTATION PTE. LTD.,SGPCHB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
61497,PSILA TECH PTE. LTD.,SGPSAT,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
82028,PT ARCHOR TEKNOLOGI DIGITAL,SGATWD,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
97697,PT COVE LIVING INDONESIA,SGCVLV,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
117533,PT COVE LIVING MANAGEMENT,SGCL5A,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
95086,PT GLINTS INDONESIA GROUP,SGGLNN,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
95087,PT GLOBAL INTRA TALENTA,SGGN7X,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
79689,PURPLE STONE CONSULTING PTE. LTD.,SGPSGR,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
67502,Qapita Fintech Pte Ltd,SGQAPF,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
60553,QOALA TECHNOLOGY PTE. LTD.,SGQAAT,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
97111,QROW PTE. LTD.,SGQRWP,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
134854,QUAK PTE. LTD,SGQPUW,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
104000,RADIAROSE PTE. LTD.,SGRPBE,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
70402,RAON WORLD SOLUTION PTE. LTD,SGGLPQ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
73948,RAPTR GAMES PTE. LTD.,SGRAG9,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
104079,REBONICS SDN BHD,SGRSAW,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
80479,REFASH PTE LTD,SGRPEK,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
104586,REFASH PTE. LTD. (STORE MANAGER ACCESS),SGRPBX,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
83721,REFASH PTE. LTD. (USD),SGT3TJ,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
71237,REPUBLIC POWER PTE. LTD.,SGRPVA,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
136555,REVVOLUTION AI TECH PTE. LTD.,SGRTAB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
72462,REWIND PTE LTD,SGRPS6,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
52557,REWIND PTE. LTD.,SGCREL,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
87708,RIDMIK PTE. LTD.,SGRDPE,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
62116,Round Square Pte. Ltd.,SGRUNS,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
77547,RUGGABLE CORPORATION PTE. LTD.,SGRUGC,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
110948,RUYI MANAGEMENT PTE LTD,SGRML3,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
66036,SCALE INSIGHTS PTE. LTD.,SGSCNR,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
98610,SEEDFLEX TECHNOLOGIES PTE LTD,SGG9EC,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
82196,SEHATECH PTE. LTD.,SGSEHP,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
91733,SEMAFOLIO PTE. LTD.,SGK87P,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
138872,SENSORFLOW LTD.,SGYJFK,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
104811,SENSORFLOW PTE. LTD.,SGJK5R,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
127949,SEQUANTIX TECHNOLOGIES PTE. LTD.,SGSEQT,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
93695,SERVI GROUP PTE. LTD.,SGSGLK,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
85608,SEVEN SAILS PTE.LTD,SGSESH,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
118593,SGAPH PTE. LTD.,SGSP45,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
70476,SH TECH PTE. LTD.,SGTPSH,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
81880,SHARETRIP PTE. LTD.,SGPFGS,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
86095,SHOPBACK FINANCIAL SERVICES SINGAPORE PTE. LTD.,SGHAHS,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
107790,SHOPTASTIC PTE LTD,SGSP3G,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
90378,SILICON TECHNOLOGIES PTE. LTD.,SGSLTF,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
125114,SINGAPORE CYBERSIGHT TECHNOLOGY PTE. LTD.,SGSCTV,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
115951,SKINSEOUL PTE. LTD.,SGSKPL,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
127467,SMART DATA PTE. LTD.,SGSMDV,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
63188,SMILE TECHNOLOGY PTE. LTD.,SGSMLT,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
131028,SMK IMPORT AND EXPORT PTE. LTD.,SGSMMQ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
91918,SND MARINE SEAFOOD PTE. LTD.,SGSNMZ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
143080,SOLO FORTIS PTE. LTD.,SGFPSF,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
118203,SORA CLOUD PTE. LTD.,SGSRC7,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
126881,SOURCESAGE (PTE. LTD.) (HKD),SGSP4Q,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
126886,SOURCESAGE (PTE. LTD.) (PHP),SGZZH8,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
129994,SOURCESAGE (PTE. LTD) (JPY),SGCR2L,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
141996,SPARKVIEW TECH PTE. LTD.,SGSPTC,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
137290,SPRING STAR FINANCIAL CONSULTING PTE. LTD.,SGDRDU,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
80725,SPROUT SOLUTIONS PHIL INC,SGSPSV,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
